state,state_abbr,year,season,scenario,scenario_label,summer_tas_c,summer_tas_c_2020,summer_tas_c_change_from_2020,summer_max_tasmax_c,summer_hot_days_30c,summer_hot_days_30c_2020,summer_hot_days_30c_change_from_2020,summer_hot_days_35c,summer_hot_days_35c_2020,summer_hot_days_35c_change_from_2020
Alabama,AL,2020,JJA,ssp126,Low emissions (SSP126),24.680511555146158,24.680511555146158,0.0,32.88056002644198,27.41818734498071,27.41818734498071,0.0,0.12523886406617596,0.12523886406617596,0.0
Alabama,AL,2021,JJA,ssp126,Low emissions (SSP126),28.238230793058946,24.680511555146158,3.55771923791279,40.65735415001321,77.89051767622941,27.41818734498071,50.47233033124869,35.84760586376701,0.12523886406617596,35.72236699970083
Alabama,AL,2022,JJA,ssp126,Low emissions (SSP126),25.32138367947813,24.680511555146158,0.6408721243319735,33.345303373900066,43.328786883405314,27.41818734498071,15.910599538424604,0.3651646378030449,0.12523886406617596,0.23992577373686894
Alabama,AL,2023,JJA,ssp126,Low emissions (SSP126),25.333490275856,24.680511555146158,0.6529787207098412,35.59970771589717,44.71876416265849,27.41818734498071,17.30057681767778,4.137506104455499,0.12523886406617596,4.012267240389323
Alabama,AL,2024,JJA,ssp126,Low emissions (SSP126),26.772844469101802,24.680511555146158,2.092332913955646,38.48553600467912,66.20350368862992,27.41818734498071,38.785316343649214,17.501189063450934,0.12523886406617596,17.375950199384757
Alabama,AL,2025,JJA,ssp126,Low emissions (SSP126),27.379123150367015,24.680511555146158,2.698611595220856,40.82294670011656,70.91256094581718,27.41818734498071,43.49437360083647,25.847587171801496,0.12523886406617596,25.72234830773532
Alabama,AL,2026,JJA,ssp126,Low emissions (SSP126),25.15512922175868,24.680511555146158,0.4746176666125185,34.15251228919815,34.07828233184096,27.41818734498071,6.660094986860255,0.6429675853408339,0.12523886406617596,0.5177287212746579
Alabama,AL,2027,JJA,ssp126,Low emissions (SSP126),25.28422639172079,24.680511555146158,0.603714836574627,35.763468661751276,46.20768730142129,27.41818734498071,18.78949995644058,4.281968127325065,0.12523886406617596,4.15672926325889
Alabama,AL,2028,JJA,ssp126,Low emissions (SSP126),24.570242403752257,24.680511555146158,-0.11026915139390629,32.64577971730494,34.844570648381314,27.41818734498071,7.426383303400604,0.1276244523988983,0.12523886406617596,0.0023855883327223294
Alabama,AL,2029,JJA,ssp126,Low emissions (SSP126),26.685002914242958,24.680511555146158,2.0044913590967965,36.39112459105025,64.20716061888874,27.41818734498071,36.78897327390803,9.060169731629836,0.12523886406617596,8.93493086756366
Alabama,AL,2030,JJA,ssp126,Low emissions (SSP126),25.48286567132319,24.680511555146158,0.8023541161770322,33.38221397809718,45.70829947410866,27.41818734498071,18.290112129127944,0.06261943203308798,0.12523886406617596,-0.06261943203308798
Alabama,AL,2031,JJA,ssp126,Low emissions (SSP126),25.126212976092095,24.680511555146158,0.44570142094593335,33.46975550677355,43.68848300920629,27.41818734498071,16.27029566422558,1.1470793379834152,0.12523886406617596,1.0218404739172393
Alabama,AL,2032,JJA,ssp126,Low emissions (SSP126),27.380033779055044,24.680511555146158,2.699522223908885,39.866213112752305,68.65844841618741,27.41818734498071,41.24026107120671,28.433821997083996,0.12523886406617596,28.30858313301782
Alabama,AL,2033,JJA,ssp126,Low emissions (SSP126),24.87712264200095,24.680511555146158,0.19661108685478645,33.6579332682415,35.785634794287986,27.41818734498071,8.367447449307281,0.4383360242316159,0.12523886406617596,0.3130971601654399
Alabama,AL,2034,JJA,ssp126,Low emissions (SSP126),25.587142554177962,24.680511555146158,0.9066309990317978,33.16430125692103,45.352720868246514,27.41818734498071,17.934533523265806,0.12523886406617596,0.12523886406617596,0.0
Alabama,AL,2035,JJA,ssp126,Low emissions (SSP126),25.19712558225394,24.680511555146158,0.5166140271077804,34.73555162006343,47.35576299419452,27.41818734498071,19.937575649213816,3.1159063508243303,0.12523886406617596,2.9906674867581544
Alabama,AL,2036,JJA,ssp126,Low emissions (SSP126),24.30367546114654,24.680511555146158,-0.376836093999621,32.61572143625869,33.448367486440404,27.41818734498071,6.030180141459696,0.1276244523988983,0.12523886406617596,0.0023855883327223294
Alabama,AL,2037,JJA,ssp126,Low emissions (SSP126),26.29332631778982,24.680511555146158,1.6128147626436593,35.88215359572927,56.80537395608741,27.41818734498071,29.387186611106703,2.770081868137169,0.12523886406617596,2.644843004070993
Alabama,AL,2038,JJA,ssp126,Low emissions (SSP126),25.95930087424445,24.680511555146158,1.2787893190982917,36.25531937913198,58.3066395805398,27.41818734498071,30.888452235559097,4.494555280608593,0.12523886406617596,4.369316416542417
Alabama,AL,2039,JJA,ssp126,Low emissions (SSP126),26.203048972312207,24.680511555146158,1.522537417166046,36.41859836045553,62.833964195945846,27.41818734498071,35.41577685096514,6.771587152522667,0.12523886406617596,6.64634828845649
Alabama,AL,2040,JJA,ssp126,Low emissions (SSP126),25.337394176715218,24.680511555146158,0.6568826215690571,35.26523636872073,46.17087667340425,27.41818734498071,18.752689328423543,3.747376287844529,0.12523886406617596,3.6221374237783532
Alabama,AL,2041,JJA,ssp126,Low emissions (SSP126),25.988022689301406,24.680511555146158,1.3075111341552448,35.60381356868932,55.7624716018,27.41818734498071,28.344284256819293,3.804247888943978,0.12523886406617596,3.6790090248778022
Alabama,AL,2042,JJA,ssp126,Low emissions (SSP126),26.501330369292937,24.680511555146158,1.8208188141467787,38.11958805120417,63.397030985661665,27.41818734498071,35.97884364068096,10.601718617659257,0.12523886406617596,10.47647975359308
Alabama,AL,2043,JJA,ssp126,Low emissions (SSP126),25.355413838788127,24.680511555146158,0.6749022836419684,35.23312961223613,47.714792311577696,27.41818734498071,20.296604966596984,1.0965943242688254,0.12523886406617596,0.9713554602026494
Alabama,AL,2044,JJA,ssp126,Low emissions (SSP126),25.329915693036405,24.680511555146158,0.649404137890241,35.82272622032611,52.30025451147752,27.41818734498071,24.88206716649681,3.11751689930898,0.12523886406617596,2.9922780352428036
Alabama,AL,2045,JJA,ssp126,Low emissions (SSP126),24.964883929392236,24.680511555146158,0.2843723742460826,33.46782893065781,34.55550147225803,27.41818734498071,7.137314127277322,0.8424330730731739,0.12523886406617596,0.7171942090069979
